,Sphere,Rastrigin,Ackley,Griewank,Schwefel P2.22,Rosenbrock,Sehwwefel P2.21,Quartic,Schwefel P1.2,Penalized 1,Penalized 2,Schwefel P2.26,Step,Kowalik,Shekel Foxholes,Goldstein-Price,Shekel 5,Branin,Hartmann 3,Shekel 7,Shekel 10,Six-Hump Camel-Back,Hartmann 6,Zakharov,Sum Squares,Alpine,Michalewicz,Exponential,Schaffer,Bent Cigar,Bohachevsky 1,Elliptic,Drop Wave,Cosine Mixture,Ellipsoidal,Levy and Montalvo 1
avg,2.830185882917911e-15,2.5224267119483555e-15,7.47069401896283e-09,0.007881122954966227,9.912376610526413e-08,26.57801018465799,0.0006600039027574987,0.005177746188472043,0.0002865156239432983,0.021473562357166295,0.10295699094728107,-6537.911654655112,0.0,0.003993474690969907,2.239023635497686,3.0000339781990384,-6.684658470618171,0.39789250361446604,-3.8624012315118894,-8.834542659449044,-7.122495264721554,-1.0316284184284243,-3.2435797450115844,9.434637548321871e-07,5.0036913642414e-16,0.17684402303740002,-1.8012945601494834,-0.9999999999999999,0.0024558588386126277,1.2488856419470963e-09,0.0,4.324828753332497e-18,-0.9968144986373858,-2.9999999999999987,16.187765098355168,0.012614321459903226
std,1.0770841617670061e-14,2.8882054560174677e-15,8.367646685844196e-09,0.012064387326480205,1.384783629911201e-07,0.5138504659347757,0.0010060726800311785,0.002655710545199073,0.0006077429789430302,0.025114881950710474,0.10797224402918576,748.8550015071273,0.0,0.007672674024997392,2.3030511646167398,3.6537948253682945e-05,3.076758703689689,5.493762175871485e-06,0.0014437599992927624,2.6926125073798763,2.8891749274230922,3.817162867949241e-08,0.09074980966550569,1.3750927463050616e-06,1.7905324886249885e-15,0.5406058726113501,9.273986316228082e-06,2.4874942663908415e-16,3.4075784050546905e-09,3.4849333119635886e-09,0.0,7.1863121340575e-18,0.013138498374521773,1.965063391103924e-15,11.522732458548104,0.010022174172019532
worst,7.599435707724747e-14,1.0658141036401503e-14,3.860756381257602e-08,0.06612539426907571,7.035332707245229e-07,27.19910303705828,0.005034484615550052,0.01360375234851553,0.004001475565834538,0.1335229284346122,0.3951952455236801,-5093.459931627878,0.0,0.020363342017544816,10.763180667329577,3.00013320837348,-2.6802007576427602,0.3979082449449134,-3.8549005185227845,-2.749474193804126,-2.5104878261872217,-1.0316282905337968,-3.086623404313995,7.504721358124609e-06,9.800785293524872e-15,2.5626974926882835,-1.8012473393434167,-0.9999999999999993,0.002455882539183718,2.1715402437143906e-08,0.0,2.9284837551143544e-17,-0.9362453247319136,-2.9999999999999925,48.748034733808225,0.04322850285409865
best,2.55749662280692e-19,0.0,4.374856032995922e-11,0.0,4.226953314588062e-09,25.49376566009567,3.8187737078717294e-05,0.0013292718808654974,4.5881633633282076e-07,1.9020382282319506e-05,0.00020509155649330287,-8322.653322334569,0.0,0.0003075423009586809,0.9980038377980613,3.0000000108928337,-10.151955193846037,0.39788742486204853,-3.8627816125227015,-10.402602570336493,-10.152394927877893,-1.031628453144702,-3.3219933716720034,1.688702029471236e-08,1.0559598245029371e-19,0.00256389933182383,-1.8013031797574812,-0.9999999999999999,0.0024558581715047323,2.200999027016387e-13,0.0,7.514452250117518e-21,-1.0,-2.9999999999999996,1.7862505424388346,2.1217756077704202e-05
ideal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12569.486618173014,0.0,0.0003074861,0.9980038377944493,3.0,-10.1532,0.39788735772973816,-3.86278214782076,-10.1532,-10.1532,-1.031628453489877,-3.32236801141551,0.0,0.0,0.0,-1.8013034100985532,-1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0
time,0.08990004062652587,0.09115742206573486,0.10196765899658203,0.09875688076019287,0.09192130088806152,0.0932479190826416,0.08698945045471192,0.1022851037979126,0.09077549934387207,0.12606451511383057,0.12133491039276123,0.09071531295776367,0.0880196762084961,0.231798038482666,0.2657890224456787,0.056664104461669924,0.07806941509246826,0.049767708778381346,0.07347850322723389,0.08830728530883789,0.08034332752227784,0.053814868927001956,0.08181171894073486,0.10230215549468995,0.09439101219177246,0.0897193717956543,0.052598185539245605,0.08870241641998292,0.04952584743499756,0.09342612266540527,0.04889389991760254,0.09622594833374024,0.049566669464111326,0.09490259647369385,0.08820406436920165,0.10906771659851074
